apprehensionstate	citizenshipcountry	arrestsbiden	arrests_perdaybiden	arreststrump	arrests_perdaytrump	popACS2023	popACS2024	ln2023	ln2024	predicted	predicted_level	pop_combined	pct_peryear_biden	pct_peryear_trump
"WYOMING"	"EL SALVADOR"	1	.0019763	12	.0631579	171		5.141664		5.091033	162.5576	162.5576	.0044375	.1418121
"WYOMING"	"GUATEMALA"	22	.0434783	14	.0736842	525		6.263398		6.412173	609.2162	609.2162	.0260492	.0441465
"WYOMING"	"HONDURAS"	14	.027668	12	.0631579	31		3.433987		3.823901	45.78244	45.78244	.2205827	.5035256
"WYOMING"	"JAMAICA"	1	.0019763			35		3.555348		3.657313	38.75706	38.75706	.0186119	
"WYOMING"	"MEXICO"	125	.2470356	140	.7368421	8057		8.994297		9.028089	8333.915	8333.915	.0108194	.0322714
"WYOMING"	"NICARAGUA"	6	.0118577	5	.0263158	67		4.204693		5.160994	174.3377	174.3377	.0248257	.0550957
"WYOMING"	"PERU"	3	.0059289	8	.0421053	412		6.021023		6.148986	468.2425	468.2425	.0046216	.0328215
"WYOMING"	"ROMANIA"	3	.0059289	1	.0052632	263		5.572154		5.497313	244.0352	244.0352	.0088677	.007872
"WYOMING"	"RUSSIA"	1	.0019763	1	.0052632	354		5.869297		5.588784	267.4103	267.4103	.0026975	.0071839
"WYOMING"	"VENEZUELA"	11	.0217391	17	.0894737	463		6.137727		7.071609	1178.042	1178.042	.0067356	.0277222
